claim_id	row_fingerprint	kind	specs	mysql_fixtures	native_tests	application_runners	ci_tiers
claim-0001	cecac9a851a25947	mysql	docs/specs/baseline-builtin-schema-catalog/specs.md	packages/libmylite/tests/mysql_baseline_builtin_schema_catalog_expectations.sh	packages/libmylite/tests/runtime_information_schema_core_test.c	-	pr-native;nightly-mysql
claim-0002	49c8add48f4d4e0b	mysql	docs/specs/baseline-builtin-schema-catalog/specs.md	packages/libmylite/tests/mysql_baseline_builtin_schema_catalog_expectations.sh	packages/libmylite/tests/runtime_information_schema_core_test.c	-	pr-native;nightly-mysql
claim-0003	00e8f49c6bb64371	mysql	docs/specs/baseline-built-in-schema-table-directory/specs.md	packages/libmylite/tests/mysql_baseline_builtin_schema_table_directory_expectations.sh	packages/libmylite/tests/runtime_builtin_schema_table_directory_test.c	-	pr-native;nightly-mysql
claim-0004	9ee5f07431f8223e	mysql	docs/specs/baseline-information-schema-static-catalogs/specs.md	packages/libmylite/tests/mysql_baseline_information_schema_static_catalogs_expectations.sh	packages/libmylite/tests/runtime_information_schema_static_catalogs_test.c	-	pr-native;nightly-mysql
claim-0005	66ce45a9408e2ff0	mysql	docs/specs/baseline-information-schema-innodb-indexes/specs.md	packages/libmylite/tests/mysql_baseline_information_schema_innodb_indexes_expectations.sh	packages/libmylite/tests/runtime_information_schema_innodb_indexes_test.c	-	pr-native;nightly-mysql
claim-0006	20fdfad15ca4cd6d	mysql	docs/specs/baseline-information-schema-role-grant-tables/specs.md	packages/libmylite/tests/mysql_baseline_information_schema_role_grant_tables_expectations.sh	packages/libmylite/tests/runtime_information_schema_role_grant_tables_test.c	-	pr-native;nightly-mysql
claim-0007	46d07c2aa4948ca8	mysql	docs/specs/baseline-information-schema-extension-attribute-tables/specs.md	packages/libmylite/tests/mysql_baseline_information_schema_extension_attribute_tables_expectations.sh	packages/libmylite/tests/runtime_information_schema_extension_attribute_tables_test.c	-	pr-native;nightly-mysql
claim-0008	185e8cf763825359	mysql	docs/specs/baseline-sys-sys-config-table/specs.md	packages/libmylite/tests/mysql_baseline_sys_sys_config_table_expectations.sh	packages/libmylite/tests/runtime_sys_sys_config_table_test.c	-	pr-native;nightly-mysql
claim-0009	4d862718ff9869c9	mysql	docs/specs/baseline-sys-version-view-definition/specs.md	packages/libmylite/tests/mysql_baseline_sys_version_view_definition_expectations.sh	packages/libmylite/tests/runtime_sys_version_view_test.c	-	pr-native;nightly-mysql
claim-0010	6a2ae9b1287ea216	mysql	docs/specs/baseline-sys-host-summary-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_host_summary_views_expectations.sh	packages/libmylite/tests/runtime_sys_host_summary_views_test.c	-	pr-native;nightly-mysql
claim-0011	21795a8abf6a8268	mysql	docs/specs/baseline-sys-host-summary-by-file-io-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_host_summary_by_file_io_views_expectations.sh	packages/libmylite/tests/runtime_sys_host_summary_by_file_io_views_test.c	-	pr-native;nightly-mysql
claim-0012	0aa319ee5001c1fd	mysql	docs/specs/baseline-sys-host-summary-by-file-io-type-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_host_summary_by_file_io_type_views_expectations.sh	packages/libmylite/tests/runtime_sys_host_summary_by_file_io_type_views_test.c	-	pr-native;nightly-mysql
claim-0013	32b908958d249ea1	mysql	docs/specs/baseline-sys-host-summary-by-stages-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_host_summary_by_stages_views_expectations.sh	packages/libmylite/tests/runtime_sys_host_summary_by_stages_views_test.c	-	pr-native;nightly-mysql
claim-0014	27f9a918bbdabd83	mysql	docs/specs/baseline-sys-host-summary-by-statement-latency-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_host_summary_by_statement_latency_views_expectations.sh	packages/libmylite/tests/runtime_sys_host_summary_by_statement_latency_views_test.c	-	pr-native;nightly-mysql
claim-0015	b4bcdfb4243ad4ff	mysql	docs/specs/baseline-sys-host-summary-by-statement-type-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_host_summary_by_statement_type_views_expectations.sh	packages/libmylite/tests/runtime_sys_host_summary_by_statement_type_views_test.c	-	pr-native;nightly-mysql
claim-0016	6377a8ca06b0096d	mysql	docs/specs/baseline-sys-user-summary-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_user_summary_views_expectations.sh	packages/libmylite/tests/runtime_sys_user_summary_views_test.c	-	pr-native;nightly-mysql
claim-0017	a1bce798bf17c664	mysql	docs/specs/baseline-sys-wait-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_wait_views_expectations.sh	packages/libmylite/tests/runtime_sys_wait_views_test.c	-	pr-native;nightly-mysql
claim-0018	4ad36e0a4ee0363c	mysql	docs/specs/baseline-sys-innodb-buffer-stats-by-schema-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_innodb_buffer_stats_by_schema_views_expectations.sh	packages/libmylite/tests/runtime_sys_innodb_buffer_stats_by_schema_views_test.c	-	pr-native;nightly-mysql
claim-0019	5d63c5f6bb9e6294	mysql	docs/specs/baseline-sys-innodb-buffer-stats-by-table-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_innodb_buffer_stats_by_table_views_expectations.sh	packages/libmylite/tests/runtime_sys_innodb_buffer_stats_by_table_views_test.c	-	pr-native;nightly-mysql
claim-0020	7a37e9c98f936bb6	mysql	docs/specs/baseline-sys-ps-check-lost-instrumentation-view/specs.md	packages/libmylite/tests/mysql_baseline_sys_ps_check_lost_instrumentation_view_expectations.sh	packages/libmylite/tests/runtime_sys_ps_check_lost_instrumentation_view_test.c	-	pr-native;nightly-mysql
claim-0021	80a39ad7a5a42784	mysql	docs/specs/baseline-sys-innodb-lock-waits-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_innodb_lock_waits_views_expectations.sh	packages/libmylite/tests/runtime_sys_innodb_lock_waits_views_test.c	-	pr-native;nightly-mysql
claim-0022	129f7da504466a3b	mysql	docs/specs/baseline-sys-latest-file-io-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_latest_file_io_views_expectations.sh	packages/libmylite/tests/runtime_sys_latest_file_io_views_test.c	-	pr-native;nightly-mysql
claim-0023	798486b1e8899b2a	mysql	docs/specs/baseline-sys-memory-by-host-by-current-bytes-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_memory_by_host_by_current_bytes_views_expectations.sh	packages/libmylite/tests/runtime_sys_memory_by_host_by_current_bytes_views_test.c	-	pr-native;nightly-mysql
claim-0024	66a610d1aafc2f8b	mysql	docs/specs/baseline-sys-memory-by-thread-by-current-bytes-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_memory_by_thread_by_current_bytes_views_expectations.sh	packages/libmylite/tests/runtime_sys_memory_by_thread_by_current_bytes_views_test.c	-	pr-native;nightly-mysql
claim-0025	ff3f4710d697b7cc	mysql	docs/specs/baseline-sys-memory-by-user-by-current-bytes-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_memory_by_user_by_current_bytes_views_expectations.sh	packages/libmylite/tests/runtime_sys_memory_by_user_by_current_bytes_views_test.c	-	pr-native;nightly-mysql
claim-0026	1a1aacd8ce58167d	mysql	docs/specs/baseline-sys-memory-global-by-current-bytes-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_memory_global_by_current_bytes_views_expectations.sh	packages/libmylite/tests/runtime_sys_memory_global_by_current_bytes_views_test.c	-	pr-native;nightly-mysql
claim-0027	51197c170ddf7a75	mysql	docs/specs/baseline-sys-memory-global-total-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_memory_global_total_views_expectations.sh	packages/libmylite/tests/runtime_sys_memory_global_total_views_test.c	-	pr-native;nightly-mysql
claim-0028	3ee0d499becba273	mysql	docs/specs/baseline-sys-metrics-view/specs.md	packages/libmylite/tests/mysql_baseline_sys_metrics_view_expectations.sh	packages/libmylite/tests/runtime_sys_metrics_view_test.c	-	pr-native;nightly-mysql
claim-0029	a419510e07256933	mysql	docs/specs/baseline-sys-processlist-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_processlist_views_expectations.sh	packages/libmylite/tests/runtime_sys_processlist_views_test.c	-	pr-native;nightly-mysql
claim-0030	071cf5f3777e2188	mysql	docs/specs/baseline-sys-session-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_session_views_expectations.sh	packages/libmylite/tests/runtime_sys_session_views_test.c	-	pr-native;nightly-mysql
claim-0031	44f64b1e5522af48	mysql	docs/specs/baseline-sys-statement-sort-temp-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_statement_sort_temp_views_expectations.sh	packages/libmylite/tests/runtime_sys_statement_sort_temp_views_test.c	-	pr-native;nightly-mysql
claim-0032	063b40b15d92019c	mysql	docs/specs/baseline-sys-io-by-thread-by-latency-views/specs.md	packages/libmylite/tests/mysql_baseline_sys_io_by_thread_by_latency_views_expectations.sh	packages/libmylite/tests/runtime_sys_io_by_thread_by_latency_views_test.c	-	pr-native;nightly-mysql
